Rule,Name,Status,PrimaryStageProposal,SecondaryStageProposal,ObservationDependency,ImageReview,PrimarySource,SourceLocator,SourceConflict,AIConfidence,UserJudgment
R11,3つの局面,"CONFIRMED_RULE;PHASE_DETECTION_TBD",Phase,Environment,"R02;R04;R07;R10;PHASE_DETECTION_TBD;NestedPhaseRepresentation=TBD",REQUIRED_COMPLETED,"S02;C01;C03","S02 three phases + large/small application + consolidation note; C01/C03 visual phase context",NONE,"HIGH semantics;MEDIUM detector",OK
R12,先行期を狙う前提,"CONFIRMED_RULE;EDGE_PROXIMITY_TBD",Phase,Setup,"R07;R08;R10;R14;EDGE_PROXIMITY_TBD",REQUIRED_COMPLETED,"S07;C01","S07 edge->final-phase->small-structure sequence; C01 edge/BR visual context; no fixed TF mapping",NONE,"HIGH semantics;MEDIUM detector",OK
R13,本格局面の確認,"CONFIRMED_RULE;PHASE_DETECTION_TBD;MA_DIRECTION_DETECTION_TBD;FIELD_TRANSITION_DETECTION_TBD",Phase,"Environment;Setup context","NO101;NO102;LargeDowEdge;LastPushLowReturnHighBreak;MediumMAGroupDirection;LongMADirection;FibExpansion;CurrentFieldCH;PHASE_DETECTION_TBD;MA_DIRECTION_DETECTION_TBD;FIELD_TRANSITION_DETECTION_TBD;R28/R29=SEPARATE_FORMATION_RULES",REQUIRED_COMPLETED,"C03;USER_APPROVED_CLARIFICATION","C03 p4 workflow; p5 structure Break; p6 MA direction / 21-40-62EMA + 200SMA; p16-17 Fibonacci Expansion scale; spec/NS2_R13_R30A_REREVIEW.md supersedes prior MA_ROLE_TBD interpretation",NONE,"HIGH semantics;MEDIUM detectors","OK / R13 REREVIEW CONFIRMED"
R14,小ダウBR,"CONFIRMED_RULE;DETECTION_TBD",Trigger,"Phase;Setup","NO201;NO202;R07;R08;SMALL_DOW_BR_DETECTION_TBD",REQUIRED_COMPLETED,"C01;S07","C01 p18; S07 point3; Entry/SL/TP/sizing/execution excluded",NONE,"HIGH semantics;MEDIUM detector",OK
R15,意識の復活（小）,"CONFIRMED_RULE;DETECTION_TBD",Trigger,Phase,"NO202;R03 Turn;SMALL_AWARENESS_REVIVAL_DETECTION_TBD;R19=SEPARATE_RULE",REQUIRED_COMPLETED,C01,"C01 p19; structural awareness-revival meaning; not equivalent/subtype of R19",NONE,"HIGH semantics;MEDIUM detector",OK
R16,意識の復活（大）,"CONFIRMED_RULE;DETECTION_TBD",Trigger,"Phase;Environment","NO202;LargeDowLine;SMALL_DOW_CYCLE_DETECTION_TBD;LineReturn=TBD",REQUIRED_COMPLETED,C01,"C01 p20; main-trend awareness revival; touch alone not sufficient",NONE,"HIGH semantics;MEDIUM detector",OK
R17,中間TL・中ダウカウンターTL,"CONFIRMED_RULE;LINE_SELECTION_TBD",Environment,"Observation;Setup","NO202;DowScale;Turn;LINE_SELECTION_TBD;BreakDetector=TBD",REQUIRED_COMPLETED,"C01;C03;USER_APPROVED_CLARIFICATION","C01 p21 intermediate TL; C03 p13 counter TL; user fixes concepts as separate and adds usage horizon/phase-role distinctions",NONE,"HIGH semantics;MEDIUM selection","OK / USER APPROVED CLARIFICATION"
R18,ラインBreak後の構造更新,"CONFIRMED_RULE;HIGH_LOW_DETECTION_TBD;LINE_SELECTION_TBD",Environment,Observation,"NO101;NO102;NO202;NO203;FieldRemap;HIGH_LOW_DETECTION_TBD;LINE_SELECTION_TBD",SOURCE_ORIGINAL_VERIFIED,"S05;USER_APPROVED_CLARIFICATION","S05 post-break high/low + redraw + field remap; registered source has no static image; user adds outer-new-high/low structural priority",NONE,"HIGH semantics;MEDIUM detector/selection","OK / USER APPROVED CLARIFICATION"
R19,リターンムーブ,"CONFIRMED_RULE;RETURN_DETECTION_TBD",Observation,"Downstream search context only","NO202;RETURN_MOVE_DETECTION_TBD;SEARCH_CUE for R14/R15 only;no TL update dependency",RECOMMENDED_COMPLETED,"S06;S03;USER_REVIEW_APPROVED_CLARIFICATION","S06 return-move tendency; user limits responsibility to observation/cue; not signal/trigger/confirmation",NONE,"HIGH semantics;MEDIUM detector","OK / 単なる現象として扱う"
R20,TL・CHの性質とBRの意味,"CONFIRMED_RULE;BR_DETECTION_TBD",Environment,"Observation;Trigger","NO202;NO203;BR_DETECTION_TBD;R14-R16=SEPARATE_TRIGGERS",SOURCE_ORIGINAL_VERIFIED,"S06;USER_APPROVED_CLARIFICATION","S06 TL=new-entry reference CH=profit target + TL-BR change action CH-BR continuation action; user adds qualitative TL/CH strength and zone-concentration interpretation",NONE,"HIGH semantics;MEDIUM detector","OK / USER APPROVED CLARIFICATION"
