SourceID,Class,Role,PrimaryForNS2,UseRestriction
C01,ShortIntensiveCore,"先行期・大/小ダウ・際・BR・意識の復活・中間TL",YES,"Use as primary source subject to Source Registry context"
C02,ShortIntensiveCore,"トレードプラン・SL・TP・RR・資金管理・フィールド/アクション",YES,"Use as primary source; responsibility boundaries still governed by NS0"
C03,ShortIntensiveCore,"本格局面・MA・フォーメーション・カウンターTL",YES,"Use as primary source; generic MA rules must not be imported beyond source"
C04,ShortIntensiveCore,"反転/継続フォーメーション・目標値",YES,"Use as primary source within registered role"
S01,SilverFoundationRule,"高値/安値・上昇/下降トレンド・ターン",YES,"Use as primary rule source"
S02,SilverFoundationRule,"先行期・本格局面・最終局面",YES,"Use as primary rule source"
S03,SilverFoundationRule,"HL・TL・CH・サポート/レジスタンス・BR",YES,"Use as primary rule source"
S04,SilverFoundationRule,"トレンドラインゾーン",YES,"Use as primary rule source"
S05,SilverFoundationRule,"ラインブレイク後の高安・ライン引き直し",YES,"Use as primary rule source"
S06,SilverFoundationRule,"リターンムーブ・TL BR/CH BR",YES,"Use as primary rule source"
S07,SilverFoundationRule,"際・最終局面・小ダウTL・先行期Entry",YES,"Use as primary rule source"
S08-S12,SilverOperations,"学習/運用資料",NO,"Do not auto-promote to primary trading-rule evidence"
PersonalCases,Case,"本人実戦ケース",NO,"Application/boundary/counterexample only; no single-case generalization"
OtherStudentCases,Case,"他受講生ケース",NO,"Supplemental example only; no standalone general-rule authority"
ValidationRecords,Validation,"品質検証・差分確認",NO,"Never promote AI validation output to teacher/trading-rule evidence"
OldControls,Archive,"旧版制御",NO,"Restore/version comparison only"
Unregistered,Unregistered,"未登録資料",NO,"Do not use without explicit registration/approval"
