Rule,Name,FinalDisposition,PrimaryStage,SecondaryStage,SourceBasis,UserDisposition,OpenItems,Notes
R01,高値・安値が土台,CONFIRMED,Environment,Observation,"S01;C01",OK,NONE,"NS2-A confirmed"
R02,トレンドの定義,CONFIRMED,Environment,Observation,S01,"OK / 修正反映済み",NONE,"NS2-A confirmed"
R03,ターンの区切り,"CONFIRMED_RULE;DETECTION_TBD",Environment,Observation,"C01;S01;USER_APPROVED_CLARIFICATION","OK / 修正反映済み","Turn detector; NO103 relationship TBD","Rule semantics confirmed; detector deferred"
R04,大・中・小ダウを目的で分ける,"CONFIRMED_RULE;DOW_SCALE_DETECTION_TBD",Environment,"Phase;Setup relationship","C01;C02;USER_APPROVED_CLARIFICATION","OK / 修正反映済み",DOW_SCALE_DETECTION_TBD,"No fixed timeframe mapping"
R05,ラインは目的で選ぶ,CONFIRMED,Environment,Observation,S03,OK,DEPENDENCY_TBD,"Rule semantics confirmed"
R06,基本ライン,"CONFIRMED_BASIC;VISUAL_SELECTION_TBD",Observation,Environment,"S03;S06;A2 visual review","基本OK / 画像確認済み・選択規則TBD",VISUAL_SELECTION_TBD,"Basic line semantics confirmed"
R07,大ダウのライン,"CONFIRMED_RULE;LINE_SELECTION_TBD",Environment,"Observation;Phase","C01;USER_APPROVED_CLARIFICATION","OK / LINE_SELECTION_TBD",LINE_SELECTION_TBD,"Broad field/edge semantics confirmed"
R08,小ダウのライン,"CONFIRMED_RULE;LINE_SELECTION_TBD",Setup,"Environment;Observation","C01;USER_APPROVED_CLARIFICATION","OK / Entry削除 / Selection TBD",LINE_SELECTION_TBD,"Entry removed from definition"
R09,トレンドラインゾーン,"CONFIRMED_RULE;APPLICATION_SELECTION_TBD",Observation,Environment,"S04;USER_APPROVED_CLARIFICATION","OK / β独自制御削除 / 反応履歴追加 / Selection TBD",APPLICATION_SELECTION_TBD,"Application selection deferred"
R10,フィールドとアクションを分ける,CONFIRMED,Environment,"Setup;Trigger","C02;USER_APPROVED_CLARIFICATION","OK / エリア分け・細部構造への引継ぎ追加",FIELD_REPRESENTATION_TBD,"Representation detail deferred"
R11,3つの局面,"CONFIRMED_RULE;PHASE_DETECTION_TBD",Phase,Environment,"S02;C01;C03",OK,PHASE_DETECTION_TBD,"NS2-B confirmed"
